GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
file-analysis-service,org.example.analysis.model,TextStatistics,24,0,0,0,9,0,5,0,5,0
file-analysis-service,org.example.analysis.controller,FileAnalysisController,11,0,0,0,4,0,2,0,2,0
file-analysis-service,org.example.analysis,FileAnalysisServiceApplication,8,0,0,0,3,0,2,0,2,0
file-analysis-service,org.example.analysis.service,TextAnalysisService,60,0,4,0,12,0,5,0,3,0
